customer_id,email_open_rate,push_notification_ctr,customer_service_tickets,return_rate,nps_score,delivery_rating,cart_abandonment_count,days_since_last_purchase
C10085,0.29,0.03,1,0.0,,3.7,5,67
C10086,0.246,0.012,1,0.147,,5.0,5,27
C10087,0.077,0.059,0,0.082,5.0,4.7,0,16
C10088,0.245,0.028,1,0.004,,4.4,1,33
C10089,0.247,0.061,0,0.097,8.0,4.3,1,71
C10090,0.097,0.055,4,0.319,,4.6,4,354
C10091,0.117,0.039,2,0.189,6.0,,11,96
C10092,0.054,0.005,4,0.164,6.0,2.9,10,345
C10093,0.335,0.068,0,0.114,5.0,4.7,1,10
C10094,0.163,0.102,0,0.053,6.0,4.0,0,65
C10095,0.234,0.037,0,0.063,,,2,43
C10096,0.087,0.012,0,0.139,,3.2,4,220
C10097,0.182,0.09,0,0.05,,4.4,2,16
C10098,0.027,0.02,0,0.239,1.0,2.2,3,226
C10099,0.013,0.023,2,0.126,0.0,1.5,6,229
C10100,0.169,0.118,3,0.069,5.0,3.0,0,64
C10101,0.292,0.024,2,0.055,,3.2,1,7
C10102,0.236,0.042,3,0.036,9.0,4.1,0,3
C10103,0.32,0.082,1,0.095,8.0,4.2,4,43
C10104,0.077,0.032,2,0.021,10.0,3.3,5,7
C10105,0.194,0.032,1,0.003,6.0,4.5,4,41
C10106,0.145,0.0,0,0.289,2.0,,5,160
C10107,0.173,0.017,0,0.074,8.0,4.2,0,49
C10108,0.068,0.027,3,0.074,4.0,,4,231
C10109,0.197,0.119,1,0.051,,5.0,5,43
C10110,0.21,0.072,2,0.082,,3.9,4,24
C10111,0.147,0.02,0,0.051,9.0,,5,34
C10112,0.131,0.106,2,0.053,8.0,4.7,3,37
C10113,0.155,0.051,1,0.0,8.0,3.9,0,10
C10114,0.205,0.054,3,0.003,6.0,4.0,2,34
C10115,0.331,0.081,3,0.158,8.0,4.5,1,35
C10116,0.048,0.019,3,0.169,,3.9,5,169
C10117,0.16,0.092,1,0.092,7.0,,4,7
C10118,0.0,0.0,1,0.114,,3.9,6,241
C10119,0.338,0.06,0,0.052,8.0,4.3,0,25
C10120,0.342,0.038,0,0.0,7.0,4.5,4,0
C10121,0.062,0.087,0,0.06,10.0,3.6,0,30
C10122,0.278,0.017,0,0.049,8.0,,4,1
C10123,0.316,0.047,2,0.027,4.0,4.5,3,22
C10124,0.246,0.129,0,0.081,7.0,2.8,2,19
C10125,0.156,0.041,0,0.187,5.0,3.9,2,8
C10126,0.321,0.011,1,0.112,6.0,3.9,3,26
C10127,0.202,0.101,0,0.081,,4.2,5,9
C10128,0.245,0.086,1,0.047,8.0,,1,34
C10129,0.243,0.008,1,0.0,,5.0,1,63
C10130,0.248,0.054,2,0.103,,2.9,4,8
C10131,0.014,0.015,3,0.18,,,7,205
C10132,0.048,0.014,1,0.182,5.0,,2,165
C10133,0.222,0.06,0,0.0,,4.5,4,0
C10134,0.214,0.04,0,0.008,7.0,,5,90
C10135,0.257,0.0,0,0.008,,4.4,5,45
C10136,0.277,0.057,1,0.071,6.0,3.8,2,84
C10137,0.305,0.061,0,0.075,,,3,36
C10138,0.199,0.053,3,0.012,6.0,4.4,4,9
C10139,0.02,0.015,2,0.17,,2.4,11,106
C10140,0.099,0.022,3,0.239,,2.1,3,95
C10141,0.186,0.048,1,0.024,,4.9,5,55
C10142,0.287,0.045,1,0.049,7.0,,5,7
C10143,0.211,0.048,4,0.073,,4.2,3,36
C10144,0.22,0.103,1,0.121,8.0,3.6,5,37
C10145,0.111,0.019,2,0.223,5.0,,11,91
C10146,0.108,0.006,4,0.176,3.0,,10,175
C10147,0.281,0.0,2,0.014,,4.0,2,0
C10148,0.099,0.037,2,0.0,,,6,271
C10149,0.125,0.021,2,0.216,2.0,2.4,8,107
C10150,0.114,0.016,5,0.339,3.0,2.0,6,110
C10151,0.131,0.066,3,0.125,7.0,3.9,5,58
C10152,0.272,0.078,0,0.087,,4.2,1,14
C10153,0.387,0.021,0,0.065,7.0,5.0,5,7
C10154,0.217,0.068,1,0.073,7.0,,4,50
C10155,0.126,0.019,0,0.256,0.0,,2,109
C10156,0.176,0.032,1,0.038,,3.9,2,19
C10157,0.207,0.055,5,0.0,,4.5,2,70
C10158,0.357,0.07,0,0.002,,4.5,3,23
C10159,0.223,0.012,2,0.06,4.0,3.6,4,45
C10160,0.205,0.019,2,0.126,8.0,4.0,1,7
C10161,0.085,0.007,2,0.101,3.0,,10,166
C10162,0.238,0.083,0,0.058,10.0,5.0,1,34
C10163,0.124,0.028,3,0.336,,3.9,5,165
C10164,0.289,0.077,0,0.035,,,1,3
C10165,0.142,0.037,1,0.202,,3.4,6,365
C10166,0.222,0.057,1,0.123,7.0,4.6,3,53
C10167,0.281,0.091,1,0.093,7.0,3.8,4,89
C10168,0.105,0.028,2,0.165,,3.2,8,172
C10169,0.222,0.06,0,0.145,,4.3,2,82
C10170,0.113,0.036,4,0.115,,,9,192
C10171,0.165,0.071,1,0.0,6.0,4.2,0,54
C10172,0.22,0.002,2,0.032,5.0,4.1,0,46
C10173,0.069,0.026,2,0.147,,2.8,11,91
C10174,0.276,0.117,3,0.139,6.0,3.8,2,50
C10175,0.066,0.029,1,0.172,4.0,,3,294
C10176,0.142,0.059,0,0.047,8.0,4.5,3,65
C10177,0.075,0.029,2,0.179,,2.5,2,104
C10178,0.087,0.032,0,0.094,,,3,15
C10179,0.129,0.025,2,0.136,,1.9,3,139
C10180,0.123,0.061,1,0.098,7.0,3.4,2,40
C10181,0.32,0.127,0,0.042,,3.7,2,48
C10182,0.302,0.074,1,0.175,8.0,4.3,2,22
C10183,0.127,0.07,0,0.059,,3.7,2,27
C10184,0.127,0.007,5,0.203,7.0,3.5,5,105
C10185,0.174,0.06,0,0.159,5.0,,10,187
C10186,0.211,0.072,0,0.071,5.0,,4,8
C10187,0.129,0.012,3,0.334,5.0,2.8,3,349
C10188,0.048,0.022,2,0.0,1.0,,9,192
C10189,0.113,0.0,1,0.24,,2.2,6,365
C10190,0.095,0.08,0,0.0,6.0,4.6,0,49
C10191,0.057,0.021,1,0.058,,,11,176
C10192,0.107,0.003,2,0.269,,,3,193
C10193,0.043,0.024,1,0.181,,,9,159
C10194,0.199,0.058,1,0.132,8.0,4.2,2,18
C10195,0.147,0.095,1,0.026,9.0,5.0,5,3
C10196,0.245,0.055,3,0.121,,2.9,4,35
C10197,0.151,0.024,1,0.009,8.0,,0,27
C10198,0.199,0.106,3,0.009,9.0,4.5,4,31
C10199,0.295,0.101,0,0.102,,4.0,0,21
C10200,0.12,0.0,2,0.183,,1.5,11,118
C10201,0.258,0.069,0,0.093,6.0,4.4,3,29
C10202,0.052,0.02,3,0.071,,4.1,8,125
C10203,0.17,0.032,2,0.0,6.0,5.0,2,32
C10204,0.167,0.036,0,0.111,7.0,5.0,4,25
C10205,0.074,0.083,0,0.072,8.0,4.7,2,88
C10206,0.261,0.034,0,0.029,7.0,4.8,2,27
C10207,0.085,0.045,2,0.344,2.0,,9,251
C10208,0.211,0.017,0,0.054,7.0,4.9,0,21
C10209,0.354,0.043,0,0.033,8.0,5.0,4,33
C10210,0.232,0.079,4,0.079,9.0,4.1,0,20
C10211,0.0,0.019,3,0.069,,,7,365
C10212,0.019,0.027,2,0.21,,1.9,9,131
C10213,0.244,0.087,3,0.088,7.0,4.7,3,30
C10214,0.152,0.113,4,0.068,,4.7,3,44
C10215,0.158,0.031,0,0.072,5.0,,4,0
C10216,0.135,0.002,3,0.142,,1.8,4,365
C10217,0.387,0.073,2,0.132,7.0,4.6,0,36
C10218,0.119,0.047,2,0.071,,,5,97
C10219,0.115,0.0,2,0.215,5.0,4.1,8,94
C10220,0.177,0.003,0,0.072,7.0,,5,83
C10221,0.236,0.0,1,0.037,8.0,4.3,5,33
C10222,0.164,0.093,0,0.009,6.0,4.0,1,54
C10223,0.261,0.066,1,0.02,,3.7,1,0
C10224,0.096,0.056,0,0.078,,5.0,5,37
C10225,0.103,0.102,0,0.072,7.0,4.5,1,12
C10226,0.195,0.078,4,0.053,,,4,17
C10227,0.114,0.09,2,0.141,3.0,4.2,3,56
C10228,0.115,0.06,0,0.094,6.0,4.2,0,22
C10229,0.207,0.073,2,0.0,5.0,4.3,0,63
C10230,0.276,0.011,1,0.113,7.0,4.4,1,15
C10231,0.275,0.036,1,0.027,9.0,2.9,1,20
C10232,0.241,0.03,0,0.068,8.0,,4,72
C10233,0.036,0.027,0,0.008,5.0,,9,143
C10234,0.094,0.03,0,0.236,,,8,125
C10235,0.018,0.013,3,0.058,,2.9,5,115
C10236,0.065,0.017,4,0.185,7.0,,6,245
C10237,0.236,0.042,2,0.018,8.0,5.0,3,50
C10238,0.154,0.017,1,0.089,,5.0,1,58
C10239,0.219,0.076,1,0.073,8.0,,2,54
C10240,0.046,0.011,1,0.222,,1.4,2,156
C10241,0.385,0.083,0,0.065,,4.4,4,26
C10242,0.238,0.073,3,0.065,,,5,11
C10243,0.08,0.018,4,0.322,,3.7,7,365
C10244,0.196,0.048,3,0.161,9.0,4.5,0,1
C10245,0.143,0.077,1,0.101,,3.9,4,45
C10246,0.106,0.118,0,0.11,,4.6,2,4
C10247,0.241,0.044,3,0.097,,4.3,4,13
C10248,0.234,0.04,2,0.076,9.0,4.0,3,27
C10249,0.314,0.082,4,0.047,4.0,5.0,4,0
C10250,0.078,0.038,4,0.202,1.0,1.8,2,138
C10251,0.34,0.072,0,0.094,5.0,4.8,3,49
C10252,0.121,0.012,1,0.356,2.0,,2,138
C10253,0.189,0.017,0,0.045,,3.8,5,14
C10254,0.113,0.072,0,0.056,7.0,3.8,4,13
C10255,0.042,0.0,2,0.18,,,3,111
C10256,0.209,0.074,0,0.003,3.0,3.8,5,68
C10257,0.195,0.0,0,0.183,,,10,174
C10258,0.106,0.017,2,0.205,,2.8,7,91
C10259,0.315,0.073,1,0.099,7.0,4.3,2,19
C10260,0.36,0.068,0,0.097,6.0,3.2,5,59
C10261,0.091,0.02,4,0.378,,,3,199
C10262,0.318,0.058,0,0.134,7.0,4.3,3,46
C10263,0.121,0.078,0,0.047,,4.3,0,57
C10264,0.264,0.025,0,0.082,6.0,4.3,3,73
C10265,0.264,0.034,1,0.091,6.0,4.2,0,67
C10266,0.307,0.075,0,0.055,7.0,,3,3
C10267,0.145,0.103,0,0.045,7.0,3.9,2,31
C10268,0.298,0.044,0,0.0,9.0,3.9,1,35
C10269,0.224,0.059,1,0.073,8.0,,0,4
C10270,0.253,0.089,1,0.048,6.0,4.7,4,35
C10271,0.108,0.0,1,0.133,,2.7,9,136
C10272,0.276,0.03,1,0.018,8.0,4.4,3,5
C10273,0.246,0.057,1,0.096,,3.6,5,51
C10274,0.353,0.103,5,0.048,,4.8,4,52
C10275,0.093,0.0,2,0.166,5.0,,10,220
C10276,0.222,0.014,2,0.113,,4.0,5,10
C10277,0.19,0.034,2,0.103,7.0,,0,15
C10278,0.249,0.098,1,0.076,,3.8,2,59
C10279,0.136,0.062,2,0.101,8.0,5.0,4,77
C10280,0.123,0.02,0,0.218,,,6,304
C10281,0.28,0.075,1,0.13,,4.2,2,23
C10282,0.165,0.031,1,0.119,7.0,4.0,5,1
C10283,0.191,0.025,2,0.137,,3.0,8,311
C10284,0.071,0.072,0,0.05,7.0,4.4,1,37
C10285,0.089,0.037,0,0.111,6.0,,0,8
C10286,0.07,0.016,2,0.245,,1.7,6,196
C10287,0.031,0.026,2,0.11,4.0,3.5,3,151
C10288,0.0,0.021,1,0.235,2.0,3.4,8,126
C10289,0.102,0.024,1,0.0,6.0,4.6,0,79
C10290,0.077,0.005,2,0.0,5.0,2.0,7,365
C10291,0.192,0.018,1,0.095,8.0,2.8,3,24
C10292,0.233,0.095,1,0.072,,3.9,3,72
C10293,0.125,0.077,0,0.095,7.0,4.7,0,1
C10294,0.191,0.025,0,0.082,,4.8,1,20
C10295,0.305,0.047,2,0.076,9.0,4.2,2,34
C10296,0.217,0.096,2,0.06,5.0,3.7,2,8
C10297,0.062,0.018,4,0.274,4.0,,6,365
C10298,0.102,0.019,1,0.017,,,5,105
C10299,0.164,0.005,1,0.017,,3.8,5,2
C10300,0.147,0.069,2,0.069,,4.4,2,36
C10301,0.293,0.06,0,0.141,,4.5,0,52
C10302,0.13,0.01,1,0.021,5.0,,3,94
C10303,0.157,0.089,2,0.028,,,2,36
C10304,0.205,0.047,1,0.0,,4.3,2,45
C10305,0.188,0.02,0,0.108,,5.0,3,62
C10306,0.001,0.03,1,0.2,0.0,3.5,5,156
C10307,0.117,0.028,1,0.081,5.0,,9,217
C10308,0.35,0.017,1,0.039,,,3,85
C10309,0.2,0.087,2,0.09,,2.9,2,31
C10310,0.079,0.018,3,0.112,7.0,,5,193
C10311,0.126,0.006,0,0.086,3.0,3.7,9,365
C10312,0.057,0.011,1,0.212,8.0,1.8,6,117
C10313,0.01,0.027,2,0.253,1.0,,11,115
C10314,0.1,0.017,2,0.314,,,9,187
C10315,0.249,0.075,0,0.135,,4.3,5,45
C10316,0.166,0.062,1,0.005,5.0,3.6,0,1
C10317,0.148,0.001,0,0.076,7.0,4.9,3,68
C10318,0.099,0.011,4,0.21,,2.7,8,117
C10319,0.029,0.11,2,0.069,8.0,,0,31
C10320,0.225,0.029,1,0.087,8.0,4.6,5,43
C10321,0.066,0.037,3,0.101,,3.6,0,34
C10322,0.367,0.005,2,0.093,10.0,4.3,4,74
C10323,0.374,0.097,5,0.029,,4.3,1,9
C10324,0.302,0.07,0,0.013,4.0,4.1,4,25
C10325,0.204,0.054,0,0.052,6.0,5.0,2,29
C10326,0.189,0.051,1,0.065,6.0,3.9,2,15
C10327,0.284,0.06,0,0.0,8.0,3.1,0,57
C10328,0.151,0.019,0,0.0,,4.9,3,28
C10329,0.157,0.0,1,0.046,10.0,3.4,0,19
C10330,0.094,0.0,2,0.105,,3.8,9,167
C10331,0.041,0.015,0,0.166,2.0,2.3,9,197
C10332,0.228,0.049,1,0.017,6.0,4.6,4,49
C10333,0.191,0.062,1,0.099,7.0,4.0,3,9
C10334,0.047,0.013,0,0.296,,,3,117
C10335,0.272,0.089,0,0.135,5.0,4.1,2,52
C10336,0.39,0.075,3,0.062,8.0,4.8,0,25
C10337,0.163,0.071,0,0.048,,4.2,2,47
C10338,0.096,0.0,2,0.165,,,3,172
C10339,0.113,0.121,3,0.046,,3.3,4,28
C10340,0.075,0.016,4,0.188,,,2,365
C10341,0.079,0.027,0,0.299,,2.9,10,101
C10342,0.211,0.046,1,0.026,7.0,4.7,4,25
C10343,0.164,0.075,0,0.068,7.0,4.3,3,22
C10344,0.224,0.06,0,0.092,,3.8,3,67
C10345,0.076,0.028,1,0.319,,3.8,3,290
C10346,0.119,0.068,2,0.095,,4.3,5,81
C10347,0.271,0.062,0,0.03,,4.7,3,42
C10348,0.38,0.037,1,0.131,6.0,4.5,0,55
C10349,0.082,0.128,0,0.211,7.0,,2,2
C10350,0.201,0.089,0,0.048,,5.0,5,71
C10351,0.246,0.034,0,0.122,7.0,3.6,5,6
C10352,0.217,0.033,2,0.062,,4.7,0,53
C10353,0.03,0.019,0,0.182,4.0,2.7,10,271
C10354,0.202,0.023,2,0.044,8.0,4.3,5,22
C10355,0.197,0.052,0,0.0,6.0,3.8,0,77
C10356,0.217,0.089,3,0.101,,,3,41
C10357,0.285,0.06,0,0.031,9.0,3.7,3,73
C10358,0.125,0.092,0,0.056,5.0,,3,5
C10359,0.049,0.024,1,0.183,4.0,,5,95
C10360,0.029,0.045,1,0.188,6.0,4.0,6,171
C10361,0.148,0.035,2,0.294,,3.1,7,365
C10362,0.257,0.042,0,0.017,6.0,4.7,3,81
C10363,0.046,0.098,2,0.03,7.0,3.8,3,2
C10364,0.016,0.035,2,0.111,3.0,2.2,4,365
C10365,0.315,0.024,4,0.047,9.0,3.9,3,14
C10366,0.082,0.001,1,0.183,,2.7,2,93
C10367,0.186,0.067,1,0.023,,4.1,4,10
C10368,0.2,0.105,0,0.056,8.0,,0,12
C10369,0.124,0.0,0,0.082,9.0,4.3,1,12
C10370,0.211,0.086,1,0.096,7.0,4.6,3,8
C10371,0.112,0.01,4,0.119,3.0,,6,257
C10372,0.165,0.044,4,0.018,8.0,4.0,5,69
C10373,0.301,0.002,1,0.002,,4.7,3,38
C10374,0.204,0.083,3,0.0,,4.0,3,33
C10375,0.237,0.088,1,0.001,,,0,42
C10376,0.0,0.0,1,0.22,,1.0,8,307
C10377,0.34,0.061,0,0.1,8.0,,1,82
C10378,0.021,0.006,4,0.194,,3.3,6,91
C10379,0.103,0.06,0,0.017,7.0,,4,7
C10380,0.244,0.033,1,0.072,9.0,3.3,1,80
C10381,0.104,0.0,1,0.149,,,3,175
C10382,0.207,0.024,1,0.019,9.0,,5,19
C10383,0.089,0.013,1,0.228,,,3,222
C10384,0.315,0.035,0,0.017,5.0,,4,2
C10385,0.344,0.026,1,0.074,,4.7,1,63
C10386,0.248,0.008,0,0.044,10.0,4.7,3,82
C10387,0.071,0.025,2,0.224,5.0,,7,161
C10388,0.277,0.083,1,0.021,5.0,4.8,5,21
C10389,0.336,0.026,3,0.088,8.0,4.2,2,18
C10390,0.137,0.0,1,0.309,,3.9,3,176
C10391,0.276,0.09,2,0.057,8.0,,3,20
C10392,0.2,0.081,0,0.026,6.0,4.2,4,44
C10393,0.0,0.026,0,0.0,,4.1,11,168
C10394,0.159,0.128,1,0.049,6.0,4.7,3,87
C10395,0.171,0.041,0,0.064,9.0,3.3,2,20
C10396,0.107,0.028,4,0.053,,2.6,7,102
C10397,0.166,0.074,2,0.0,,3.7,5,35
C10398,0.073,0.003,2,0.264,,2.1,7,193
C10399,0.199,0.038,1,0.0,,4.4,2,74
C10400,0.266,0.036,1,0.094,8.0,3.6,2,16
C10401,0.1,0.026,0,0.086,6.0,3.0,2,110
C10402,0.077,0.032,3,0.119,5.0,,4,365
C10403,0.308,0.066,0,0.053,5.0,4.1,5,49
C10404,0.077,0.029,0,0.099,5.0,4.1,5,55
C10405,0.159,0.046,1,0.115,8.0,5.0,5,3
C10406,0.18,0.054,1,0.011,6.0,4.5,3,9
C10407,0.14,0.018,3,0.153,2.0,3.3,11,148
C10408,0.155,0.048,2,0.177,5.0,,3,316
C10409,0.256,0.028,0,0.02,,2.7,4,20
C10410,0.301,0.088,0,0.085,3.0,4.6,4,1
C10411,0.171,0.074,0,0.158,,4.0,4,4
C10412,0.0,0.02,3,0.194,6.0,,2,103
C10413,0.121,0.018,5,0.045,,2.2,9,114
C10414,0.069,0.023,1,0.021,7.0,3.8,5,85
C10415,0.0,0.004,2,0.205,4.0,3.0,6,262
C10416,0.167,0.009,4,0.191,4.0,4.9,5,148
C10417,0.092,0.0,0,0.372,,3.9,10,99
C10418,0.187,0.053,1,0.064,6.0,,4,16
C10419,0.146,0.04,1,0.119,,4.5,5,29
C10420,0.28,0.06,1,0.138,6.0,3.3,1,19
C10421,0.264,0.107,1,0.0,5.0,4.2,3,20
C10422,0.192,0.088,4,0.0,4.0,4.1,0,59
C10423,0.126,0.089,0,0.101,,4.9,3,28
C10424,0.133,0.02,1,0.341,,,8,126
C10425,0.152,0.071,1,0.117,5.0,3.5,1,75
C10426,0.257,0.09,1,0.077,3.0,5.0,5,9
C10427,0.236,0.125,0,0.174,8.0,3.5,2,6
C10428,0.069,0.027,1,0.239,,,9,175
C10429,0.305,0.009,2,0.064,10.0,4.8,4,4
C10430,0.142,0.035,0,0.207,,3.5,8,365
C10431,0.171,0.038,1,0.067,2.0,3.6,3,15
C10432,0.063,0.006,4,0.141,,,10,199
C10433,0.337,0.056,0,0.063,,2.9,0,81
C10434,0.32,0.062,3,0.064,10.0,3.9,2,36
C10435,0.099,0.012,1,0.211,1.0,,9,177
C10436,0.057,0.036,0,0.177,3.0,3.9,11,175
C10437,0.201,0.007,1,0.115,,,9,171
C10438,0.082,0.047,1,0.15,,2.3,2,111
C10439,0.122,0.021,0,0.091,1.0,2.6,9,96
C10440,0.257,0.13,2,0.0,8.0,4.6,1,60
C10441,0.298,0.036,0,0.105,6.0,5.0,4,54
C10442,0.165,0.06,1,0.042,9.0,4.5,0,71
C10443,0.147,0.024,1,0.114,4.0,,5,107
C10444,0.17,0.038,0,0.129,,3.6,4,32
C10445,0.267,0.05,2,0.109,5.0,3.2,2,18
C10446,0.196,0.023,1,0.111,7.0,4.8,3,12
C10447,0.137,0.054,0,0.2,,,9,209
C10448,0.127,0.081,1,0.083,,4.3,3,57
C10449,0.068,0.0,4,0.207,,4.8,10,208
C10450,0.344,0.114,0,0.056,8.0,4.6,2,37
C10451,0.231,0.032,1,0.0,6.0,3.9,1,80
C10452,0.247,0.036,1,0.101,6.0,3.9,4,69
C10453,0.07,0.018,0,0.214,3.0,3.4,5,365
C10454,0.262,0.0,2,0.069,8.0,5.0,2,12
C10455,0.199,0.0,2,0.095,10.0,5.0,0,62
C10456,0.0,0.049,3,0.339,,2.2,11,105
C10457,0.113,0.021,2,0.0,,2.0,6,318
C10458,0.147,0.019,3,0.351,,2.0,11,208
C10459,0.107,0.025,5,0.128,1.0,,11,166
C10460,0.339,0.069,0,0.037,5.0,4.9,4,2
C10461,0.065,0.043,1,0.156,0.0,1.7,10,98
C10462,0.022,0.031,4,0.219,,3.6,2,210
C10463,0.167,0.058,3,0.024,8.0,,5,60
C10464,0.331,0.087,1,0.076,7.0,4.2,4,29
C10465,0.056,0.032,1,0.198,,2.1,3,93
C10466,0.278,0.039,1,0.048,7.0,5.0,1,25
C10467,0.069,0.042,0,0.271,,3.9,11,126
C10468,0.147,0.032,0,0.08,,2.5,10,167
C10469,0.227,0.018,1,0.04,,,0,73
C10470,0.17,0.083,1,0.082,5.0,4.8,4,60
C10471,0.255,0.071,3,0.0,6.0,4.2,2,34
C10472,0.378,0.058,1,0.179,5.0,3.6,1,36
C10473,0.134,0.05,0,0.136,6.0,4.5,0,50
C10474,0.157,0.058,0,0.115,,4.2,1,8
C10475,0.143,0.018,1,0.198,,,8,138
C10476,0.066,0.035,1,0.204,0.0,,8,365
C10477,0.056,0.034,2,0.198,4.0,,3,141
C10478,0.095,0.021,5,0.123,,,10,109
C10479,0.393,0.077,1,0.008,8.0,4.3,4,87
C10480,0.182,0.0,1,0.019,1.0,5.0,5,41
C10481,0.23,0.098,1,0.051,9.0,4.8,4,21
C10482,0.268,0.089,1,0.084,5.0,4.7,3,3
C10483,0.162,0.062,3,0.117,7.0,5.0,4,16
C10484,0.425,0.099,2,0.098,9.0,3.4,5,13
C10485,0.119,0.051,1,0.0,,3.3,3,12
C10486,0.199,0.074,0,0.111,6.0,4.3,2,63
C10487,0.08,0.027,0,0.138,6.0,2.9,8,98
C10488,0.299,0.131,0,0.037,,5.0,4,79
C10489,0.163,0.091,0,0.069,,,4,54
C10490,0.133,0.102,1,0.028,6.0,4.3,5,8
