transaction_id,product_ids
TXN80160,"P1001,P1072,P1242"
TXN80161,"P1050,P1084,P1106,P1440"
TXN80162,"P1107,P1094,P1081,P1388"
TXN80163,"P1109,P1089,P1083"
TXN80164,"P1484,P1079,P1108,P1198"
TXN80165,"P1222,P1210,P1188"
TXN80166,"P1258,P1494"
TXN80167,"P1163,P1011,P1095"
TXN80168,"P1254,P1024,P1037"
TXN80169,"P1020,P1003,P1036"
TXN80170,"P1278,P1031,P1499"
TXN80171,"P1056,P1060,P1077"
TXN80172,"P1255,P1023"
TXN80173,"P1198,P1180"
TXN80174,"P1341,P1361,P1386,P1173"
TXN80175,"P1351,P1365,P1378"
TXN80176,"P1002,P1075,P1231,P1060"
TXN80177,"P1058,P1087,P1114,P1261"
TXN80178,"P1294,P1337,P1448"
TXN80179,"P1339,P1355"
TXN80180,"P1051,P1082,P1099"
TXN80181,"P1049,P1068,P1070"
TXN80182,"P1260,P1030"
TXN80183,"P1004,P1077,P1233"
TXN80184,"P1099,P1092,P1085,P1274"
TXN80185,"P1484,P1086,P1107,P1240"
TXN80186,"P1050,P1085,P1099"
TXN80187,"P1058,P1082,P1111,P1302"
TXN80188,"P1197,P1171,P1063"
TXN80189,"P1168,P1003"
TXN80190,"P1004,P1077,P1241"
TXN80191,"P1460,P1220"
TXN80192,"P1493,P1332,P1314,P1189"
TXN80193,"P1489,P1338,P1317"
TXN80194,"P1049,P1068,P1071"
TXN80195,"P1055,P1082,P1104,P1137"
TXN80196,"P1204,P1180,P1439"
TXN80197,"P1003,P1072,P1238"
TXN80198,"P1053,P1064,P1074"
TXN80199,"P1249,P1019,P1035,P1207"
TXN80200,"P1300,P1327,P1464"
TXN80201,"P1292,P1334"
TXN80202,"P1253,P1017,P1043"
TXN80203,"P1052,P1086,P1111,P1368"
TXN80204,"P1500,P1079,P1102"
TXN80205,"P1294,P1327,P1320,P1018"
TXN80206,"P1052,P1059,P1077,P1176"
TXN80207,"P1165,P1013,P1069"
TXN80208,"P1303,P1327"
TXN80209,"P1484,P1066,P1070"
TXN80210,"P1054,P1082,P1102,P1498"
TXN80211,"P1052,P1083,P1109"
TXN80212,"P1054,P1079,P1112"
TXN80213,"P1006,P1075,P1240"
TXN80214,"P1342,P1370,P1386"
TXN80215,"P1055,P1087,P1103"
TXN80216,"P1007,P1077,P1235"
TXN80217,"P1053,P1079,P1102"
TXN80218,"P1052,P1083,P1099"
TXN80219,"P1489,P1337,P1313"
TXN80220,"P1301,P1332"
TXN80221,"P1346,P1370,P1492,P1455"
TXN80222,"P1165,P1002,P1174"
TXN80223,"P1277,P1028,P1036,P1050"
TXN80224,"P1169,P1012"
TXN80225,"P1305,P1323,P1308"
TXN80226,"P1251,P1028,P1035,P1235"
TXN80227,"P1296,P1323,P1379"
TXN80228,"P1296,P1335,P1320,P1316"
TXN80229,"P1493,P1337"
TXN80230,"P1050,P1087,P1108,P1126"
TXN80231,"P1013,P1078,P1234,P1125"
TXN80232,"P1342,P1364,P1371,P1444"
TXN80233,"P1058,P1068,P1072,P1150"
TXN80234,"P1196,P1173"
TXN80235,"P1346,P1364"
TXN80236,"P1343,P1368"
TXN80237,"P1055,P1088,P1100,P1339"
TXN80238,"P1057,P1086,P1103,P1326"
TXN80239,"P1113,P1095,P1079,P1376"
TXN80240,"P1500,P1062,P1073,P1191"
TXN80241,"P1106,P1094,P1088,P1298"
TXN80242,"P1103,P1097,P1079"
TXN80243,"P1026,P1001,P1044"
TXN80244,"P1055,P1497,P1070"
TXN80245,"P1269,P1030,P1043,P1021"
TXN80246,"P1303,P1334,P1471"
TXN80247,"P1352,P1363"
TXN80248,"P1293,P1335,P1319"
TXN80249,"P1302,P1336"
TXN80250,"P1205,P1172"
TXN80251,"P1052,P1059,P1077,P1416"
TXN80252,"P1220,P1217,P1193,P1121"
TXN80253,"P1057,P1084,P1109"
TXN80254,"P1454,P1223"
TXN80255,"P1052,P1083,P1111"
TXN80256,"P1493,P1327"
TXN80257,"P1346,P1364"
TXN80258,"P1251,P1025,P1034"
TXN80259,"P1017,P1006,P1048,P1183"
TXN80260,"P1017,P1014,P1045,P1309"
TXN80261,"P1243,P1020,P1045"
TXN80262,"P1345,P1357,P1373,P1168"
TXN80263,"P1164,P1001"
TXN80264,"P1159,P1003"
TXN80265,"P1055,P1087,P1100"
TXN80266,"P1058,P1083,P1101"
TXN80267,"P1247,P1019,P1043"
TXN80268,"P1049,P1066,P1075,P1157"
TXN80269,"P1105,P1098,P1086"
TXN80270,"P1304,P1327,P1500"
TXN80271,"P1028,P1008,P1041"
TXN80272,"P1271,P1017,P1048"
TXN80273,"P1305,P1337"
TXN80274,"P1252,P1026,P1045"
TXN80275,"P1296,P1324,P1321,P1111"
TXN80276,"P1055,P1081,P1103"
TXN80277,"P1272,P1017,P1035,P1434"
TXN80278,"P1055,P1079,P1104"
TXN80279,"P1228,P1218,P1192,P1063"
TXN80280,"P1291,P1335,P1459"
TXN80281,"P1050,P1082,P1105,P1166"
TXN80282,"P1052,P1060,P1071,P1260"
TXN80283,"P1500,P1061,P1072"
TXN80284,"P1054,P1085,P1102,P1389"
TXN80285,"P1056,P1079,P1105"
TXN80286,"P1022,P1004,P1035,P1131"
TXN80287,"P1013,P1070,P1234"
TXN80288,"P1304,P1330"
TXN80289,"P1057,P1497,P1074,P1113"
TXN80290,"P1250,P1028,P1045,P1092"
TXN80291,"P1270,P1031,P1035"
TXN80292,"P1108,P1093,P1083"
TXN80293,"P1292,P1328,P1255"
TXN80294,"P1103,P1095,P1083"
TXN80295,"P1227,P1207,P1184"
TXN80296,"P1201,P1175,P1231"
TXN80297,"P1346,P1369,P1377"
TXN80298,"P1229,P1211,P1184"
TXN80299,"P1249,P1032,P1036,P1129"
TXN80300,"P1306,P1328,P1312,P1059"
TXN80301,"P1269,P1019,P1048"
TXN80302,"P1006,P1070,P1241,P1163"
TXN80303,"P1014,P1071,P1240"
TXN80304,"P1057,P1064,P1076"
TXN80305,"P1305,P1330,P1320,P1191"
TXN80306,"P1008,P1070,P1239"
TXN80307,"P1051,P1067,P1074"
TXN80308,"P1304,P1323"
TXN80309,"P1224,P1210,P1192"
TXN80310,"P1353,P1355,P1386"
TXN80311,"P1493,P1336,P1319"
TXN80312,"P1342,P1369,P1386"
TXN80313,"P1230,P1207,P1189,P1426"
TXN80314,"P1013,P1077,P1233"
TXN80315,"P1339,P1366,P1371"
TXN80316,"P1029,P1005,P1035"
TXN80317,"P1344,P1360,P1378"
TXN80318,"P1012,P1074,P1241,P1133"
TXN80319,"P1303,P1334,P1011"
TXN80320,"P1493,P1337"
TXN80321,"P1244,P1025,P1045,P1117"
TXN80322,"P1104,P1090,P1088,P1109"
TXN80323,"P1111,P1096,P1088"
TXN80324,"P1049,P1087,P1107"
TXN80325,"P1162,P1014"
TXN80326,"P1228,P1216,P1191"
TXN80327,"P1026,P1001,P1038"
TXN80328,"P1269,P1018,P1043,P1040"
TXN80329,"P1352,P1363,P1485,P1241"
TXN80330,"P1257,P1026,P1278"
TXN80331,"P1058,P1087,P1101,P1073"
TXN80332,"P1054,P1086,P1113,P1047"
TXN80333,"P1196,P1176,P1150"
TXN80334,"P1227,P1213,P1190,P1322"
TXN80335,"P1246,P1022,P1033"
TXN80336,"P1015,P1073,P1237"
TXN80337,"P1341,P1357,P1402"
TXN80338,"P1058,P1067,P1076,P1311"
TXN80339,"P1058,P1088,P1112"
TXN80340,"P1488,P1226"
TXN80341,"P1500,P1081,P1103,P1263"
TXN80342,"P1276,P1023,P1048"
TXN80343,"P1500,P1079,P1109,P1451"
TXN80344,"P1351,P1360,P1378"
TXN80345,"P1054,P1079,P1107"
TXN80346,"P1049,P1084,P1111,P1317"
TXN80347,"P1484,P1086,P1100"
TXN80348,"P1001,P1070,P1233"
TXN80349,"P1299,P1328,P1317,P1299"
TXN80350,"P1053,P1061,P1077,P1337"
TXN80351,"P1204,P1177,P1161"
TXN80352,"P1302,P1332,P1312"
TXN80353,"P1484,P1082,P1103,P1475"
TXN80354,"P1249,P1024,P1039,P1470"
TXN80355,"P1200,P1177,P1139"
TXN80356,"P1050,P1084,P1104"
TXN80357,"P1057,P1084,P1114"
TXN80358,"P1269,P1027,P1045,P1136"
TXN80359,"P1055,P1088,P1106"
TXN80360,"P1170,P1008,P1275"
TXN80361,"P1058,P1497,P1074,P1082"
TXN80362,"P1203,P1172,P1334"
TXN80363,"P1054,P1059,P1076,P1459"
TXN80364,"P1463,P1227,P1255"
TXN80365,"P1168,P1011"
TXN80366,"P1056,P1083,P1107,P1183"
TXN80367,"P1297,P1332,P1310"
TXN80368,"P1101,P1090,P1086"
TXN80369,"P1228,P1214,P1185"
TXN80370,"P1292,P1329,P1496,P1276"
TXN80371,"P1198,P1175,P1035"
TXN80372,"P1350,P1361,P1383"
TXN80373,"P1348,P1357,P1259"
TXN80374,"P1056,P1080,P1109"
TXN80375,"P1054,P1082,P1102"
TXN80376,"P1023,P1006,P1044"
TXN80377,"P1058,P1082,P1112"
TXN80378,"P1056,P1087,P1102"
TXN80379,"P1458,P1486"
TXN80380,"P1352,P1369"
TXN80381,"P1054,P1079,P1099,P1221"
TXN80382,"P1500,P1497,P1070,P1232"
TXN80383,"P1195,P1176"
TXN80384,"P1197,P1178,P1496"
TXN80385,"P1220,P1218,P1192,P1466"
TXN80386,"P1057,P1059,P1078"
TXN80387,"P1500,P1081,P1114,P1009"
TXN80388,"P1462,P1221"
TXN80389,"P1162,P1012"
TXN80390,"P1055,P1061,P1071"
TXN80391,"P1054,P1067,P1075"
TXN80392,"P1261,P1018"
TXN80393,"P1349,P1483"
TXN80394,"P1030,P1015,P1047"
TXN80395,"P1259,P1026"
TXN80396,"P1104,P1091,P1086"
TXN80397,"P1278,P1027,P1499,P1278"
TXN80398,"P1484,P1083,P1109"
TXN80399,"P1500,P1068,P1075"
TXN80400,"P1260,P1027,P1233"
TXN80401,"P1057,P1081,P1108,P1090"
TXN80402,"P1278,P1030,P1043,P1021"
TXN80403,"P1099,P1089,P1079,P1124"
TXN80404,"P1248,P1024,P1040"
TXN80405,"P1050,P1062,P1071,P1094"
TXN80406,"P1054,P1080,P1105"
TXN80407,"P1049,P1084,P1109,P1404"
TXN80408,"P1489,P1329,P1320"
TXN80409,"P1104,P1090,P1083,P1247"
TXN80410,"P1251,P1494,P1045,P1322"
TXN80411,"P1161,P1016"
TXN80412,"P1298,P1336"
TXN80413,"P1056,P1086,P1108"
TXN80414,"P1304,P1327,P1307"
TXN80415,"P1051,P1084,P1104"
TXN80416,"P1248,P1026,P1039,P1067"
TXN80417,"P1222,P1209,P1194"
TXN80418,"P1203,P1172"
TXN80419,"P1295,P1329,P1309,P1105"
TXN80420,"P1058,P1081,P1099,P1252"
TXN80421,"P1160,P1002,P1307"
TXN80422,"P1101,P1097,P1082"
TXN80423,"P1201,P1175"
TXN80424,"P1056,P1081,P1105,P1398"
TXN80425,"P1291,P1328,P1322"
TXN80426,"P1351,P1483,P1076"
TXN80427,"P1269,P1022,P1044"
TXN80428,"P1016,P1076,P1236"
TXN80429,"P1223,P1218,P1188,P1226"
TXN80430,"P1295,P1335,P1311,P1043"
TXN80431,"P1051,P1088,P1101,P1449"
TXN80432,"P1055,P1497,P1077,P1206"
TXN80433,"P1294,P1335,P1308"
TXN80434,"P1275,P1022,P1047"
TXN80435,"P1294,P1338,P1312,P1066"
TXN80436,"P1253,P1023,P1039"
TXN80437,"P1056,P1062,P1078"
TXN80438,"P1484,P1068,P1071"
TXN80439,"P1099,P1094,P1081"
TXN80440,"P1051,P1081,P1105"
TXN80441,"P1352,P1360,P1085"
TXN80442,"P1054,P1088,P1101"
TXN80443,"P1253,P1026,P1040,P1122"
TXN80444,"P1161,P1011"
TXN80445,"P1253,P1028,P1040,P1473"
TXN80446,"P1054,P1087,P1108,P1225"
TXN80447,"P1020,P1016,P1047,P1426"
TXN80448,"P1022,P1013,P1042"
TXN80449,"P1298,P1323,P1317"
TXN80450,"P1053,P1063,P1078"
TXN80451,"P1056,P1088,P1102"
TXN80452,"P1051,P1086,P1113"
TXN80453,"P1099,P1091,P1088"
TXN80454,"P1257,P1031"
TXN80455,"P1019,P1006,P1034"
TXN80456,"P1349,P1362,P1402"
TXN80457,"P1254,P1020,P1039,P1429"
TXN80458,"P1343,P1490,P1485"
TXN80459,"P1052,P1081,P1103,P1020"
TXN80460,"P1021,P1012,P1045,P1057"
TXN80461,"P1052,P1081,P1100"
TXN80462,"P1002,P1073,P1239,P1433"
TXN80463,"P1167,P1015"
TXN80464,"P1350,P1361,P1489"
TXN80465,"P1012,P1071,P1234"
TXN80466,"P1493,P1335,P1049"
TXN80467,"P1162,P1001,P1223"
TXN80468,"P1198,P1177"
TXN80469,"P1484,P1080,P1109,P1096"
TXN80470,"P1050,P1084,P1104"
TXN80471,"P1246,P1019,P1033,P1120"
TXN80472,"P1350,P1355,P1373,P1246"
TXN80473,"P1016,P1073,P1241,P1441"
TXN80474,"P1340,P1361,P1014"
TXN80475,"P1032,P1003,P1039"
TXN80476,"P1354,P1357,P1374"
TXN80477,"P1051,P1085,P1100,P1119"
TXN80478,"P1196,P1174,P1134"
TXN80479,"P1484,P1086,P1112,P1391"
TXN80480,"P1100,P1090,P1088"
TXN80481,"P1500,P1497,P1070"
TXN80482,"P1102,P1090,P1085,P1326"
TXN80483,"P1295,P1328"
TXN80484,"P1100,P1090,P1088"
TXN80485,"P1278,P1018,P1047,P1109"
TXN80486,"P1484,P1087,P1113,P1198"
TXN80487,"P1264,P1023,P1042"
TXN80488,"P1058,P1062,P1075"
TXN80489,"P1201,P1176"
TXN80490,"P1105,P1097,P1079"
TXN80491,"P1006,P1076,P1241"
TXN80492,"P1300,P1326,P1311"
TXN80493,"P1053,P1081,P1102,P1073"
TXN80494,"P1291,P1335"
TXN80495,"P1489,P1327,P1317"
TXN80496,"P1195,P1180"
TXN80497,"P1484,P1084,P1103"
TXN80498,"P1295,P1332,P1319,P1099"
TXN80499,"P1007,P1074,P1236"
TXN80500,"P1111,P1090,P1079,P1182"
TXN80501,"P1350,P1359,P1419"
TXN80502,"P1004,P1072,P1238,P1091"
TXN80503,"P1053,P1062,P1075"
TXN80504,"P1200,P1179"
TXN80505,"P1301,P1334"
TXN80506,"P1273,P1026,P1037,P1171"
TXN80507,"P1299,P1325,P1311"
TXN80508,"P1159,P1005,P1404"
TXN80509,"P1165,P1004"
TXN80510,"P1110,P1098,P1081,P1410"
TXN80511,"P1057,P1086,P1107"
TXN80512,"P1292,P1328,P1056"
TXN80513,"P1341,P1368,P1355"
TXN80514,"P1055,P1082,P1103,P1108"
TXN80515,"P1489,P1326"
TXN80516,"P1200,P1176"
TXN80517,"P1053,P1061,P1069"
TXN80518,"P1298,P1332,P1040"
TXN80519,"P1100,P1090,P1079"
TXN80520,"P1264,P1028"
TXN80521,"P1201,P1178"
TXN80522,"P1252,P1031,P1044,P1364"
TXN80523,"P1453,P1224"
TXN80524,"P1056,P1068,P1074,P1300"
TXN80525,"P1225,P1209,P1186"
TXN80526,"P1299,P1338"
TXN80527,"P1050,P1061,P1073"
TXN80528,"P1202,P1177"
TXN80529,"P1049,P1080,P1100"
TXN80530,"P1493,P1324"
TXN80531,"P1020,P1004,P1034"
TXN80532,"P1023,P1001,P1046"
TXN80533,"P1057,P1062,P1070"
TXN80534,"P1250,P1029,P1041"
TXN80535,"P1050,P1086,P1104,P1483"
TXN80536,"P1049,P1087,P1099"
TXN80537,"P1342,P1366"
TXN80538,"P1262,P1020"
TXN80539,"P1295,P1323"
TXN80540,"P1500,P1080,P1109"
TXN80541,"P1340,P1369,P1373,P1167"
TXN80542,"P1219,P1213,P1190"
TXN80543,"P1050,P1082,P1100"
TXN80544,"P1056,P1082,P1109,P1069"
TXN80545,"P1163,P1012"
TXN80546,"P1107,P1096,P1083"
TXN80547,"P1345,P1367,P1376,P1092"
TXN80548,"P1001,P1069,P1240"
TXN80549,"P1304,P1328,P1287"
TXN80550,"P1110,P1096,P1085"
TXN80551,"P1206,P1177"
TXN80552,"P1347,P1370,P1371,P1172"
TXN80553,"P1493,P1323"
TXN80554,"P1224,P1210,P1193,P1168"
TXN80555,"P1249,P1022,P1047"
TXN80556,"P1107,P1095,P1085,P1359"
TXN80557,"P1220,P1212,P1192"
TXN80558,"P1341,P1483,P1197"
TXN80559,"P1114,P1089,P1079,P1053"
TXN80560,"P1055,P1085,P1112,P1083"
TXN80561,"P1301,P1323"
TXN80562,"P1050,P1060,P1069"
TXN80563,"P1465,P1228"
TXN80564,"P1354,P1369,P1374"
TXN80565,"P1299,P1324,P1307,P1216"
TXN80566,"P1346,P1490,P1492"
TXN80567,"P1050,P1088,P1107"
TXN80568,"P1228,P1207,P1188"
TXN80569,"P1198,P1181"
TXN80570,"P1230,P1208,P1188"
TXN80571,"P1269,P1018,P1041,P1436"
TXN80572,"P1058,P1083,P1114"
TXN80573,"P1303,P1338"
TXN80574,"P1484,P1082,P1101"
TXN80575,"P1297,P1337,P1321"
TXN80576,"P1454,P1225,P1316"
TXN80577,"P1050,P1085,P1111"
TXN80578,"P1160,P1005,P1178"
TXN80579,"P1460,P1219,P1434"
TXN80580,"P1107,P1092,P1082"
TXN80581,"P1296,P1333,P1320"
TXN80582,"P1344,P1361,P1485,P1240"
TXN80583,"P1228,P1208,P1192"
TXN80584,"P1250,P1017,P1035,P1209"
TXN80585,"P1055,P1081,P1099"
TXN80586,"P1246,P1031,P1034"
TXN80587,"P1353,P1490,P1376"
TXN80588,"P1050,P1080,P1112,P1051"
TXN80589,"P1253,P1017,P1041,P1087"
TXN80590,"P1293,P1330,P1489"
TXN80591,"P1058,P1067,P1078"
TXN80592,"P1202,P1173"
TXN80593,"P1256,P1019,P1371"
TXN80594,"P1500,P1067,P1077,P1241"
TXN80595,"P1099,P1090,P1087"
TXN80596,"P1201,P1175,P1251"
TXN80597,"P1257,P1022,P1096"
TXN80598,"P1054,P1067,P1077"
TXN80599,"P1254,P1024,P1047"
TXN80600,"P1110,P1096,P1079"
TXN80601,"P1104,P1089,P1079,P1215"
TXN80602,"P1049,P1085,P1114,P1262"
TXN80603,"P1229,P1208,P1185,P1165"
TXN80604,"P1264,P1019"
TXN80605,"P1053,P1088,P1111"
TXN80606,"P1196,P1181"
TXN80607,"P1341,P1360,P1485"
TXN80608,"P1202,P1181"
TXN80609,"P1264,P1025"
TXN80610,"P1051,P1088,P1112,P1439"
TXN80611,"P1305,P1335,P1322,P1053"
TXN80612,"P1195,P1180,P1282"
TXN80613,"P1170,P1004,P1208"
TXN80614,"P1030,P1004,P1044"
TXN80615,"P1304,P1324,P1426"
TXN80616,"P1269,P1032,P1042"
TXN80617,"P1484,P1067,P1077,P1188"
TXN80618,"P1111,P1094,P1080,P1399"
TXN80619,"P1051,P1083,P1100,P1348"
TXN80620,"P1351,P1367"
TXN80621,"P1057,P1082,P1107"
TXN80622,"P1058,P1085,P1099"
TXN80623,"P1299,P1337,P1496,P1245"
TXN80624,"P1256,P1031"
TXN80625,"P1001,P1071,P1239"
TXN80626,"P1054,P1060,P1075,P1120"
TXN80627,"P1164,P1008"
TXN80628,"P1229,P1213,P1187"
TXN80629,"P1343,P1355"
TXN80630,"P1227,P1216,P1186"
TXN80631,"P1053,P1087,P1111,P1487"
TXN80632,"P1024,P1002,P1046,P1107"
TXN80633,"P1055,P1066,P1071,P1465"
TXN80634,"P1058,P1088,P1101"
TXN80635,"P1165,P1001"
TXN80636,"P1252,P1019,P1035,P1244"
TXN80637,"P1222,P1208,P1192"
TXN80638,"P1495,P1182"
TXN80639,"P1024,P1012,P1038,P1182"
TXN80640,"P1014,P1070,P1234"
TXN80641,"P1457,P1226"
TXN80642,"P1014,P1069,P1236,P1150"
TXN80643,"P1267,P1025,P1043,P1438"
TXN80644,"P1303,P1333"
TXN80645,"P1339,P1360"
TXN80646,"P1054,P1083,P1108"
TXN80647,"P1166,P1005,P1208"
TXN80648,"P1102,P1095,P1084"
TXN80649,"P1292,P1329,P1316"
TXN80650,"P1053,P1079,P1112"
TXN80651,"P1013,P1070,P1238"
TXN80652,"P1500,P1086,P1101"
TXN80653,"P1343,P1363"
TXN80654,"P1252,P1018,P1033,P1337"
TXN80655,"P1251,P1021,P1036,P1220"
TXN80656,"P1262,P1025,P1342"
TXN80657,"P1298,P1333,P1312"
TXN80658,"P1165,P1013"
TXN80659,"P1025,P1014,P1040"
TXN80660,"P1111,P1098,P1087,P1380"
TXN80661,"P1057,P1065,P1078,P1254"
TXN80662,"P1050,P1084,P1109"
TXN80663,"P1299,P1333,P1308"
TXN80664,"P1342,P1358,P1375"
TXN80665,"P1170,P1006,P1484"
TXN80666,"P1056,P1084,P1106,P1308"
TXN80667,"P1350,P1358"
TXN80668,"P1050,P1086,P1101"
TXN80669,"P1352,P1356,P1192"
TXN80670,"P1493,P1335,P1177"
TXN80671,"P1200,P1174,P1343"
TXN80672,"P1102,P1097,P1088"
TXN80673,"P1299,P1333"
TXN80674,"P1302,P1324,P1319"
TXN80675,"P1202,P1171"
TXN80676,"P1002,P1069,P1240,P1245"
TXN80677,"P1223,P1215,P1192,P1209"
TXN80678,"P1340,P1364,P1383,P1315"
TXN80679,"P1254,P1030,P1046,P1432"
TXN80680,"P1195,P1176,P1363"
TXN80681,"P1051,P1079,P1108,P1261"
TXN80682,"P1054,P1086,P1113"
